mask,soln_count
43989138940160,130
35261833543682,130
43989055705344,130
17592221962753,130
141736023553,130
146364436485,130
141736546309,130
35192981161986,131
35261698543618,131
57209518030856,131
52785417162752,131
4398048674827,131
8925614083,131
17600912298497,131
17609519009793,131
35223028893956,132
43989138931722,132
35261832499202,132
35193499554048,132
35201571361024,132
37383949521152,132
17600778342913,132
8950728631297,132
146364502017,132
146098159633,132
146114873345,132
21990235181061,132
37383414484994,133
57209501319184,133
58308744450048,133
35193500075010,133
43997645116672,133
35257453707282,133
43989138931730,133
35184408269568,133
35257387057428,133
17626847842305,133
180657063941,133
2199560193035,133
8590066731,133
11132622348801,133
214833299457,133
17600929071121,133
19791746703873,133
19791211925509,133
57208966545424,134
57208966615040,134
35188667122730,134
35189204063234,134
35261682681088,134
43989055178000,134
35270271570946,134
35261815848978,134
35188936020228,134
19791478002177,134
17635404226561,134
23124640800769,134
17635404155393,134
172100686337,134
2371090386949,134
8875148299,134
2199576904715,134
8942189158401,134
35253125384706,135
35253125384960,135
37383414485248,135
35296041371904,135
37452114887698,135
35193498895882,135
39651138670594,135
37383397970180,135
37452132122888,135
22093311840257,135
19826105909777,135
154887263745,135
17601379959305,135
4535554671121,135
8942205796369,135
17678220657153,135
223473566209,135
146181980177,135
35296041373698,136
52819776246272,136
35365029155328,136
57209501261828,136
35192964187146,136
37383395476522,136
35193515672594,136
35193031364610,136
37383414747138,136
19825571205121,136
23124372357137,136
22025145946113,136
8800388056075,136
77309547523,136
77309547777,136
17601044420097,136
17600861962257,136
17601061720065,136
57208967528452,137
35202088895498,137
35193230595074,137
37383397577730,137
35188736331778,137
35193650938112,137
35184408334338,137
137474936833,137
22025129232385,137
17635404288001,137
17635420930065,137
8796143354891,137
17601397784577,137
17601330159617,137
39582418732074,138
46179488368138,138
35330470318080,138
39651205185812,138
37452250152962,138
35270405660932,138
8937827207681,138
17592756732433,138
23124372357129,138
22093311770645,138
11132555756041,138
8875675905,138
35296041241090,139
35193566138624,139
17678085395969,139
146297917441,139
35296041243138,140
35261681634560,140
35253125256194,140
45080010294282,140
35201837171722,140
35192962683168,140
22024594524161,140
17635405201921,140
189247001089,140
22024593342501,140
17669495461377,140
1245876064257,140
35261681566738,141
39582687101962,141
35189204067584,141
46179488498706,141
35188736327698,141
37452181995530,141
37452181995538,141
35261748740360,141
35193650937858,141
43984760738048,141
35201820922624,141
35257387065604,141
17592222027777,141
176362168321,141
22025129295881,141
19826105913857,141
19825837473813,141
